location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Iceland,Pfizer/BioNTech,45204,0,2021-03-27,3,2021,Saturday,March
Iceland,Johnson&Johnson,0,0,2021-03-28,3,2021,Sunday,March
Iceland,Moderna,6717,0,2021-03-28,3,2021,Sunday,March
Iceland,Oxford/AstraZeneca,13988,0,2021-03-28,3,2021,Sunday,March
Iceland,Pfizer/BioNTech,45536,0,2021-03-28,3,2021,Sunday,March
Iceland,Johnson&Johnson,0,0,2021-03-29,3,2021,Monday,March
Iceland,Moderna,6717,0,2021-03-29,3,2021,Monday,March
Iceland,Oxford/AstraZeneca,15000,0,2021-03-29,3,2021,Monday,March
Iceland,Pfizer/BioNTech,46396,0,2021-03-29,3,2021,Monday,March
Iceland,Johnson&Johnson,0,0,2021-03-30,3,2021,Tuesday,March
Iceland,Moderna,6717,0,2021-03-30,3,2021,Tuesday,March
Iceland,Oxford/AstraZeneca,16461,0,2021-03-30,3,2021,Tuesday,March
Iceland,Pfizer/BioNTech,49897,0,2021-03-30,3,2021,Tuesday,March
Iceland,Johnson&Johnson,0,0,2021-03-31,3,2021,Wednesday,March
Iceland,Moderna,6717,0,2021-03-31,3,2021,Wednesday,March
Iceland,Oxford/AstraZeneca,17256,0,2021-03-31,3,2021,Wednesday,March
Iceland,Pfizer/BioNTech,50738,0,2021-03-31,3,2021,Wednesday,March
Iceland,Johnson&Johnson,0,0,2021-01-04,1,2021,Monday,January
Iceland,Moderna,6717,0,2021-01-04,1,2021,Monday,January
Iceland,Oxford/AstraZeneca,17256,0,2021-01-04,1,2021,Monday,January
Iceland,Pfizer/BioNTech,50739,0,2021-01-04,1,2021,Monday,January
Iceland,Johnson&Johnson,0,0,2021-02-04,2,2021,Thursday,February
Iceland,Moderna,6717,0,2021-02-04,2,2021,Thursday,February
Iceland,Oxford/AstraZeneca,17256,0,2021-02-04,2,2021,Thursday,February
Iceland,Pfizer/BioNTech,50739,0,2021-02-04,2,2021,Thursday,February
Iceland,Johnson&Johnson,0,0,2021-03-04,3,2021,Thursday,March
Iceland,Moderna,6717,0,2021-03-04,3,2021,Thursday,March
Iceland,Oxford/AstraZeneca,17257,0,2021-03-04,3,2021,Thursday,March
